job_id,task_index,queue_delay,service_time,cpu_req,mem_req,priority,latency_ms,sample_order
6257669344,169,6.442727,,0.0,0.003109,0,0.0,119
6257812637,101,5.224218,-234.132473,0.02499,0.03339,4,0.0,120
6257371936,220,20.02272,239.223129,0.03125,0.007767,4,0.0,121
6260631815,82,18.587639,,0.0625,0.0318,4,0.0,122
6260298560,989,44.194047,112.240503,0.0625,0.0318,4,0.0,123
6257725863,486,-4576.729658,2561.938196,0.02499,0.02545,4,0.0,124
6255636443,1134,3.274381,-561.294706,0.02655,0.01865,4,0.0,125
6258156550,609,33.537602,-2120.178775,0.02499,0.02545,4,0.0,126
6259225956,504,7.036519,-217.38612,0.02499,0.02545,4,0.0,127
6255844009,327,3.41142,,0.02249,0.0575,0,0.0,128
6257208694,142,790.166048,,0.0625,0.0318,0,0.0,129
6260387260,157,13.568344,,0.006248,0.007767,2,0.0,130
6256303344,62,33.484083,,0.0625,0.03107,4,0.0,131
6258581728,48,42.194501,,0.0625,0.0318,4,0.0,132
6255532470,64,0.921964,1428.985206,0.03125,0.009323,4,0.0,133
6255710324,792,11.330923,925.454521,0.0625,0.0318,1,0.0,134
6256014611,3067,42.639174,,0.0125,0.02457,1,0.0,135
6259748281,352,59.879222,,0.0625,0.0318,4,0.0,136
6255315149,92,5.924523,206.827829,0.006248,0.01102,2,0.0,137
6258285331,75,1.808631,198.674066,0.03259,0.002998,0,0.0,138
6256766261,1885,28.902358,851.028312,0.009369,0.04773,4,0.0,139
6256766261,517,9.101573,963.034072,0.009369,0.04773,4,0.0,140
6260210453,169,45.767041,-166.529455,0.0625,0.0318,4,0.0,141
6257428885,26,2.66036,1808.17306,0.03583,0.04816,4,0.0,142
6259680424,827,6.247191,-136.429021,0.02499,0.03339,4,0.0,143
6256200906,5,1.650478,,0.0125,0.004333,0,0.0,144
6255779476,43,1.618232,,0.006248,0.01553,4,0.0,145
6255995254,560,2.8622,,0.0125,0.0318,0,0.0,146
6235196851,23,1.534582,,0.009369,0.006218,0,0.0,147
6257291575,40,1.088171,387.98992,0.0125,0.004662,4,0.0,148
6258867976,98,2.775301,,0.0125,0.0636,4,0.0,149
6256158885,34,1.560664,283.070926,0.009369,0.007462,0,0.0,150
6255880424,79,5.215658,257.784536,0.006248,0.01094,4,0.0,151
6259192675,220,38.594457,75.02113,0.0625,0.0318,4,0.0,152
6256549034,89,27.073302,,0.0625,0.0636,4,0.0,153
6260518313,161,11.793303,,0.02637,0.009323,4,0.0,154
6256226079,42,1.854374,405.979728,0.0625,0.006218,4,0.0,155
6255995254,162,2.856146,,0.0125,0.0318,0,0.0,156
6255240643,322,6.613834,-71.031312,0.009369,0.004913,2,0.0,157
6256734086,1063,222.45572,,0.02249,0.0575,0,0.0,158
6260662213,371,38.225377,,0.0625,0.0318,4,0.0,159
6255846508,150,2.294806,433.873094,0.006248,0.01094,4,0.0,160
6255861470,38,1.052242,421.552178,0.006248,0.01094,4,0.0,161
6255621523,19,1.595722,191.024276,0.0125,0.01546,0,0.0,162
6255261756,1000,2.784019,-550.884065,0.02499,0.02545,2,0.0,163
6256694696,119,1.979873,312.660417,0.03125,0.007767,4,0.0,164
6256339481,119,27.436221,,0.0625,0.0159,4,0.0,165
6257743521,51,38.679199,991.926432,0.02499,0.02426,4,0.0,166
6257016454,34,1.835614,89.046291,0.006248,0.004105,0,0.0,167
6258309159,22,1.760511,,0.04999,0.006104,8,0.0,168
6255411069,2227,684.777471,,0.0625,0.1228,2,0.0,169
6258142523,142,43.417392,-2772.054692,0.02499,0.02545,4,0.0,170
6252901355,120,1.760304,-476.599375,0.03748,0.03119,0,0.0,171
6256763144,208,5.799738,3034.991713,0.01375,0.02332,4,0.0,172
6258156550,836,-2804.498188,,0.02499,0.02545,4,0.0,173
6255472233,444,3.842664,120.982843,0.09998,0.02069,2,0.0,174
6259818974,458,8.273103,-107.69144,0.02499,0.03339,4,0.0,175
6255014264,28,1.792931,282.537507,0.006248,0.001554,0,0.0,176
6257825545,523,34.903637,2315.269084,0.02499,0.07959,4,0.0,177
6256732043,272,3.028747,,0.02563,0.0575,0,0.0,178
6255239187,735,6.599672,46.421338,0.009369,0.004913,2,0.0,179
6260518313,544,11.800269,,0.02637,0.009323,4,0.0,180
5402488769,3236,-658.447575,,0.0006247,0.003883,0,0.0,181
6255082291,1,3.661686,588.200738,0.0625,0.02704,2,0.0,182
6260342039,889,-235.929049,,0.0625,0.0318,4,0.0,183
6256958524,116,1.691201,207.6183,0.009369,0.01877,0,0.0,184
6255353498,2,1.538755,402.245869,0.0125,0.01553,0,0.0,185
6259846143,640,9.009855,-214.588852,0.0625,0.0318,4,0.0,186
6257861930,384,34.055125,636.297959,0.02499,0.03339,4,0.0,187
6260707082,540,-292.130639,,0.03125,0.007767,6,0.0,188
6257506517,447,29.657667,97.467334,0.0625,0.03107,4,0.0,189
6259903922,436,34.821057,,0.0625,0.0318,4,0.0,190
6258136112,964,23.43348,-2509.647286,0.02499,0.03339,4,0.0,191
6260078817,459,29.524628,94.266531,0.0625,0.0318,4,0.0,192
6256453051,338,45.131372,,0.0625,0.03107,4,0.0,193
6258380499,537,33.512592,276.078262,0.0625,0.0318,1,0.0,194
6238340468,1308,-1844.672867,,0.0625,0.03961,0,0.0,195
6258136112,564,29.856956,-2113.545152,0.02499,0.03339,4,0.0,196
6257106263,7,8.90008,130.927005,0.0625,0.0159,4,0.0,197
6260056146,663,7.454571,292.013261,0.0625,0.0318,4,0.0,198
6259388498,72,7.538138,,0.0625,0.0636,4,0.0,199
6255314450,75,2.315582,281.182993,0.006248,0.01102,2,0.0,200
6259103867,410,-536.921661,178.970164,0.0625,0.0318,4,0.0,201
6254984728,2182,744.994329,,0.0625,0.1228,2,0.0,202
6257745186,542,55.309507,-41.764908,0.02499,0.02121,4,0.0,203
6221861800,8786,744.664789,,0.0125,0.0159,0,0.0,204
6257669344,4457,6.49197,,0.0,0.003109,0,0.0,205
6255411069,322,4.422356,,0.0625,0.1228,2,0.0,206
6256680550,633,-2551.299851,212.23318,0.03125,0.03662,0,0.0,207
6255552396,477,0.861673,,0.03125,0.007767,4,0.0,208
6257607397,429,30.46215,,0.0625,0.03107,4,0.0,209
6259903922,945,28.89918,,0.0625,0.0318,4,0.0,210
